0,0,0.00255140186915888,0,0.00308707124010554,0.000987596899224806,0,0,0,0,0,0.000987204450625869,0,0.000980438035641409,0,0.000983073767378257,0,0,0,0
0,0,0.00381826213411215,0,0,0,0,0,0,0.00241483061903114,0,0,0.0104993956835067,0,0,0.000547860255109018,0.00443852805021398,1.09405401175751e-06,0,0
-6,-1.5164394,0,0,0.211402638522427,0.0408756589147287,0,0,0,0.104497162629758,0,0.0400022253129346,0.480784546805349,0.012911614746293,0,0.0137657129833625,0.0430808559201141,0.0228869995767295,0,0
0,0,0,0,0.00057745382585752,0,0,0,0,0,0,0,0.00346705943536404,0,0,0,0.00566530171184023,2.43859286083808e-06,0,0
-2.25,0,-0.67067,-0.195,0,0.0798824926787252,0,0,0,0,0,0.0307118266110338,0.201787653046062,0.0252329136171949,0,0.0281831114487579,0.0708759736091298,0.0499730224521469,0,0
-0.63,0,-0.113498,0,-0.233044,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00083718233449182,0.0180354331500978
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00332529058725215,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.000497622585438336,0,0,0,0.00147539229671897,0,0,0
0,0,0,0,0,0,0,0,0,0.000954778546712803,0,0,3.56523031203566e-05,0,0,0,0.00359396576319544,0,0,0
0,-0.06475899,-0.072226,0,0,0,0,0,-0.0805,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0766667770305225,0.0012476053233873,0
-0.585,0,-0.10318,0,-0.08323,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000859972026786471,0.0185263918755241
0,-0.6556845,-0.77385,-0.594,-0.341243,0,0,-0.136,-0.007,0,0,0,0,0,0,0,0,0,0,0
-1.98,0,-0.113498,0,-0.233044,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00342718487751123,0.0738319016118513
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.48135258430137e-05,0,0
-3.555,-0.3345879,-0.216678,0,-0.466088,0,-1.4,0,0,0,0,0,0,0,0,0,0,0,0.00413958887852844,0.089179233019659
0,-0.28871712,-0.072226,-1.011,-0.124845,0,0,-0.42,-0.735,0,0,0,0,0,0,0,0,0,0,0
0,-0.005396583,-2.909676,-0.033,-6.675046,0,0,0,0,0,-13.1066,0,0,0,-2.25,0,0,0,2.88985985137464,0.684135159477002
0,0,0,0,0,-0.3,0,0,0,0,-0.142,-0.3,0,-0.24,0,-0.24,0,-10.53,0,12.3102953507873
0,0,0,0,0,-14.7,0,0,0,0,0,-14.7,0,-11.76,0,-11.76,0,-5.67,-123.6152,0
